,023,027,039,043,053,054,057,058,083,099,113,114,147,163,177,178
11111111,22.0,2.0,2.0,2.0,2.0,31.0,2.0,1.0,2.0,2.0,2.0,1.0,31.0,1.0,1.0,2.0
11111112,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0
11111121,12.0,2.0,7.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,31.0,1.0,1.0,2.0
11111122,16.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0
11112111,12.0,12.0,2.0,2.0,2.0,31.0,31.0,31.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
11112112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11112121,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
11112122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11121111,12.0,2.0,2.0,2.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,31.0,31.0,1.0,2.0
11121112,16.0,1.0,1.0,1.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,11.0,1.0,1.0
11121121,32.0,7.0,7.0,7.0,7.0,21.0,21.0,6.0,7.0,7.0,7.0,6.0,11.0,11.0,11.0,12.0
11121122,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
11122111,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0
11122112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11122121,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,12.0,12.0,12.0,6.0,6.0,6.0,6.0,7.0
11122122,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0
12111111,12.0,7.0,2.0,2.0,2.0,31.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
12111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12111121,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
12111122,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12112111,32.0,32.0,7.0,7.0,7.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0,6.0,6.0,12.0
12112112,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
12112121,2.0,2.0,12.0,12.0,12.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,7.0
12112122,1.0,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,11.0,11.0,11.0
12121111,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
12121112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12121121,2.0,12.0,12.0,12.0,12.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0
12121122,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0
12122111,2.0,2.0,2.0,2.0,12.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,6.0,7.0
12122112,1.0,1.0,1.0,1.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,1.0,11.0,11.0
12122121,2.0,2.0,2.0,2.0,2.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,12.0
12122122,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0
21111111,6.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21111112,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
21111121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21111122,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
21112111,16.0,16.0,1.0,1.0,1.0,11.0,11.0,11.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21112112,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
21112121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21112122,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
