,023,027,039,043,053,054,057,058,083,099,113,114,147,163,177,178
11111111,,,,,,,,,,,,,,,,
11111112,,,,,,,,,,,,,,,,
11111121,,,,,,,,,,,,,,,,
11111122,,,,,,,,,,,,,,,,
11112111,,,,,,,,,,,,,,,,
11112112,,,,,,,,,,,,,,,,
11112121,,,,,,,,,,,,,,,,
11112122,,,,,,,,,,,,,,,,
11121111,,,,,,,,,,,,,,,,
11121112,,,,,,,,,,,,,,,,
11121121,,,,,,,,,,,,,,,,
11121122,,,,,,,,,,,,,,,,
11122111,,,,,,,,,,,,,,,,
11122112,,,,,,,,,,,,,,,,
11122121,,,,,,,,,,,,,,,,
11122122,,,,,,,,,,,,,,,,
12111111,,,,,,,,,,,,,,,,
12111112,,,,,,,,,,,,,,,,
12111121,,,,,,,,,,,,,,,,
12111122,,,,,,,,,,,,,,,,
12112111,,,,,,,,,,,,,,,,
12112112,,,,,,,,,,,,,,,,
12112121,,,,,,,,,,,,,,,,
12112122,,,,,,,,,,,,,,,,
12121111,,,,,,,,,,,,,,,,
12121112,,,,,,,,,,,,,,,,
12121121,,,,,,,,,,,,,,,,
12121122,,,,,,,,,,,,,,,,
12122111,,,,,,,,,,,,,,,,
12122112,,,,,,,,,,,,,,,,
12122121,,,,,,,,,,,,,,,,
12122122,,,,,,,,,,,,,,,,
21111111,,,,,,,,,,,,,,,,
21111112,,,,,,,,,,,,,,,,
21111121,,,,,,,,,,,,,,,,
21111122,,,,,,,,,,,,,,,,
21112111,,,,,,,,,,,,,,,,
21112112,,,,,,,,,,,,,,,,
21112121,,,,,,,,,,,,,,,,
21112122,,,,,,,,,,,,,,,,
21121111,,,,,,,,,,,,,,,,
21121112,,,,,,,,,,,,,,,,
21121121,,,,,,,,,,,,,,,,
21121122,,,,,,,,,,,,,,,,
21122111,,,,,,,,,,,,,,,,
21122112,,,,,,,,,,,,,,,,
21122121,,,,,,,,,,,,,,,,
21122122,,,,,,,,,,,,,,,,
22111111,,,,,,,,,,,,,,,,
22111112,,,,,,,,,,,,,,,,
22111121,,,,,,,,,,,,,,,,
22111122,,,,,,,,,,,,,,,,
22112111,,,,,,,,,,,,,,,,
22112112,,,,,,,,,,,,,,,,
22112121,,,,,,,,,,,,,,,,
22112122,,,,,,,,,,,,,,,,
22121111,,,,,,,,,,,,,,,,
22121112,,,,,,,,,,,,,,,,
22121121,,,,,,,,,,,,,,,,
22121122,,,,,,,,,,,,,,,,
22122111,,,,,,,,,,,,,,,,
22122112,,,,,,,,,,,,,,,,
22122121,,,,,,,,,,,,,,,,
11111123,,,,,,,,,,,,,,,,
11111132,,,,,,,,,,,,,,,,
11112113,,,,,,,,,,,,,,,,
11112123,,,,,,,,,,,,,,,,
11112131,,,,,,,,,,,,,,,,
11112132,,,,,,,,,,,,,,,,
11112133,,,,,,,,,,,,,,,,
11113112,,,,,,,,,,,,,,,,
11113121,,,,,,,,,,,,,,,,
11113122,,,,,,,,,,,,,,,,
11113123,,,,,,,,,,,,,,,,
11113132,,,,,,,,,,,,,,,,
11121113,,,,,,,,,,,,,,,,
11121123,,,,,,,,,,,,,,,,
11121131,,,,,,,,,,,,,,,,
11121132,,,,,,,,,,,,,,,,
11121133,,,,,,,,,,,,,,,,
11122113,,,,,,,,,,,,,,,,
11122123,,,,,,,,,,,,,,,,
11122131,,,,,,,,,,,,,,,,
11122132,,,,,,,,,,,,,,,,
11122133,,,,,,,,,,,,,,,,
11123111,,,,,,,,,,,,,,,,
11123112,,,,,,,,,,,,,,,,
11123113,,,,,,,,,,,,,,,,
11123121,,,,,,,,,,,,,,,,
11123122,,,,,,,,,,,,,,,,
11123123,,,,,,,,,,,,,,,,
11123131,,,,,,,,,,,,,,,,
11123132,,,,,,,,,,,,,,,,
11123133,,,,,,,,,,,,,,,,
11131112,,,,,,,,,,,,,,,,
11131121,,,,,,,,,,,,,,,,
11131122,,,,,,,,,,,,,,,,
11131123,,,,,,,,,,,,,,,,
11131132,,,,,,,,,,,,,,,,
11132111,,,,,,,,,,,,,,,,
11132112,,,,,,,,,,,,,,,,
